Time,Slider Position (mm),Slider Position (%),Stiffness (Nm/rad),Joint Angle (deg),Joint Angle Velocity (deg/s),Pitch VelocityDesired Position [mm],Motor Encoder (cts),Motor Current,inSwing
6.0537309646606445,23.91,42.11,434.7043,-0.02197265625,-0.0146484375,-3.1424936386768447,51.12498012402608,301094,0.578091029592947,False
6.061079263687134,24.34,42.86,441.03819999999996,-0.06591796875,-0.0146484375,-3.160305343511451,51.12498012402608,306457,-0.6274825857620443,False
6.068451642990112,24.76,43.62,447.4832,0.02197265625,-0.02197265625,-3.1908396946564888,51.12498012402608,311832,-0.421501395371303,False
6.075805187225342,25.19,44.37,453.96330000000006,-0.02197265625,0.02197265625,-3.2340966921119594,51.12498012402608,317181,0.7731286093438592,False
6.083152770996094,25.61,45.12,460.5184,0.0,0.0,-3.2264631043256995,51.12498012402608,322541,1.0884483293736742,False
6.090538501739502,26.04,45.87,467.1576,0.0,0.02197265625,-3.1755725190839694,51.12498012402608,327936,0.23726850151196704,False
6.097874879837036,26.47,46.62,473.7968,-0.02197265625,-0.00732421875,-3.147582697201018,51.12498012402608,333309,-0.6334976689504992,False
6.10520601272583,26.9,47.37,480.74199999999996,0.0,0.0,-3.1653944020356235,51.12498012402608,338680,-1.0711879551945787,False
6.112622261047363,27.33,48.13,487.52739999999994,-0.0439453125,0.0,-3.290076335877863,51.12498012402608,344102,-0.8212104799696921,False
6.1199822425842285,27.76,48.89,494.5864,-0.02197265625,-0.0146484375,-3.290076335877863,51.12498012402608,349472,-0.7058150708729517,False
6.127204895019531,28.18,49.63,501.36519999999996,-0.02197265625,0.0,-3.21882951653944,51.12498012402608,354754,-0.712877793002205,False
6.134406089782715,28.59,50.36,508.195,0.02197265625,-0.00732421875,-3.183206106870229,51.12498012402608,360006,0.3073412966052917,False
6.141605854034424,29.01,51.09,515.1250000000001,0.0,0.02197265625,-3.1552162849872776,51.12498012402608,365239,0.6535389800251632,False
6.148831844329834,29.43,51.83,522.0550000000001,0.0439453125,0.00732421875,-3.2544529262086517,51.12498012402608,370516,-0.24776735947961645,False
6.156038522720337,29.85,52.57,529.2825,0.02197265625,0.02197265625,-3.262086513994911,51.12498012402608,375779,-0.2759247293426799,False
6.16330885887146,30.27,53.31,536.3594999999999,0.087890625,0.0,-3.2264631043256995,51.12498012402608,381085,-0.25434819688663085,False
6.170604705810547,30.69,54.06,543.678,-0.0439453125,0.029296875,-3.211195928753181,51.12498012402608,386412,-0.6385121234016119,False
6.1778740882873535,31.12,54.8,551.0740000000001,0.02197265625,-0.029296875,-3.2010178117048347,51.12498012402608,391737,-0.2534913186996339,False
6.18512225151062,31.54,55.54,558.4924,-0.02197265625,0.0,-3.2391857506361323,51.12498012402608,397028,-0.21896885058363483,False
6.192472219467163,31.97,56.29,566.0432000000001,-0.02197265625,-0.03662109375,-3.2061068702290076,51.12498012402608,402391,-0.7102940185540271,False
6.199732780456543,32.39,57.04,573.4184000000001,0.0,0.00732421875,-3.150127226463104,51.12498012402608,407688,-0.18229573411640843,False
6.206997871398926,32.81,57.77,581.0852000000001,-0.02197265625,-0.00732421875,-3.1017811704834606,51.12498012402608,412974,0.1705541634088738,False
6.2144458293914795,33.24,58.53,588.7908,-0.02197265625,0.0,-3.0788804071246823,51.12498012402608,418405,-0.3920773664540449,False
6.221760988235474,33.66,59.28,596.5415999999999,-0.02197265625,0.0,-3.1297709923664123,51.12498012402608,423743,-0.4572246374891917,False
6.229025840759277,34.08,60.02,604.2108,0.02197265625,-0.00732421875,-3.1297709923664123,51.12498012402608,429040,-0.45449540105460284,False
6.236293315887451,34.51,60.76,612.2513,-0.0439453125,0.0146484375,-3.262086513994911,51.12498012402608,434334,-0.740492217570351,False
6.2435595989227295,34.93,61.51,620.0759,0.0,-0.00732421875,-3.256997455470738,51.12498012402608,439635,-0.09589943623315222,False
6.250884056091309,35.35,62.25,627.9005,-0.02197265625,0.00732421875,-3.3053435114503817,51.12498012402608,444973,0.9689672847567483,False
6.258115291595459,35.77,62.99,635.9869000000001,-0.02197265625,-0.0146484375,-3.2264631043256995,51.12498012402608,450237,0.7032668270983712,False
6.265382528305054,36.19,63.73,643.9543,-0.02197265625,0.00732421875,-3.208651399491094,51.12498012402608,455538,0.6217708254672721,False
6.272565841674805,36.61,64.47,652.1413,-0.0439453125,-0.00732421875,-3.2010178117048347,51.12498012402608,460769,0.5024124424546218,False
6.279621601104736,37.02,65.18,660.0666,-0.06591796875,-0.00732421875,-3.1374045801526713,51.12498012402608,465897,-0.5522852267491296,False
6.286275148391724,37.4,65.86,667.4119999999999,-0.02197265625,-0.0146484375,-3.1297709923664123,51.12498012402608,470760,-1.2393614848646781,False
6.293046474456787,37.79,66.55,675.2351,-0.02197265625,0.0,-3.1297709923664123,51.12498012402608,475684,-1.1942866052047727,False
